Scientific Name,Common Name,Location Name,Lat,Lon,EPSG Code,Date
Dugong dugon,Dugong,GPS LOCATION,-12.43364,130.81341,"WGS 84, Lat/Lon",4-Oct-17
Dugong dugon,Dugong,GPS LOCATION,-12.597132,130.471349,"WGS 84, Lat/Lon",5-Oct-17
Dugong dugon,Dugong,GPS LOCATION,-12.627734,130.406892,"WGS 84, Lat/Lon",6-Oct-17
Dugong dugon,Dugong,GPS LOCATION,-12.400999,130.808366,"WGS 84, Lat/Lon",6-Oct-17
Dugong dugon,Dugong,GPS LOCATION,-12.626891,130.409832,"WGS 84, Lat/Lon",7-Oct-17
Dugong dugon,Dugong,GPS LOCATION,-12.437679,130.827783,"WGS 84, Lat/Lon",10-Oct-17
Dugong dugon,Dugong,GPS LOCATION,-12.433514,130.828477,"WGS 84, Lat/Lon",10-Oct-17
Dugong dugon,Dugong,GPS LOCATION,-12.50789,130.904565,"WGS 84, Lat/Lon",10-Oct-17
Dugong dugon,Dugong,GPS LOCATION,-12.445794,130.820705,"WGS 84, Lat/Lon",11-Oct-17
Dugong dugon,Dugong,GPS LOCATION,-12.551776,130.509809,"WGS 84, Lat/Lon",12-Oct-17
Dugong dugon,Dugong,GPS LOCATION,-12.568126,130.490165,"WGS 84, Lat/Lon",12-Oct-17
Dugong dugon,Dugong,GPS LOCATION,-12.632754,130.540222,"WGS 84, Lat/Lon",13-Oct-17
Dugong dugon,Dugong,GPS LOCATION,-12.450563,130.818771,"WGS 84, Lat/Lon",13-Oct-17
Dugong dugon,Dugong,GPS LOCATION,-12.375004,130.81743,"WGS 84, Lat/Lon",13-Oct-17
Dugong dugon,Dugong,GPS LOCATION,-12.556884,130.504858,"WGS 84, Lat/Lon",14-Oct-17
Dugong dugon,Dugong,GPS LOCATION,-12.554978,130.50823,"WGS 84, Lat/Lon",14-Oct-17
Dugong dugon,Dugong,GPS LOCATION,-12.572755,130.486439,"WGS 84, Lat/Lon",14-Oct-17
Dugong dugon,Dugong,GPS LOCATION,-12.609654,130.547112,"WGS 84, Lat/Lon",14-Oct-17
Dugong dugon,Dugong,GPS LOCATION,-12.373666,130.8166,"WGS 84, Lat/Lon",14-Oct-17
Dugong dugon,Dugong,GPS LOCATION,-12.371726,130.817277,"WGS 84, Lat/Lon",14-Oct-17
Dugong dugon,Dugong,GPS LOCATION,-12.57052,130.758008,"WGS 84, Lat/Lon",16-Oct-17
Dugong dugon,Dugong,GPS LOCATION,-12.553982,130.508044,"WGS 84, Lat/Lon",20-Oct-17
Dugong dugon,Dugong,GPS LOCATION,-12.390286,130.809667,"WGS 84, Lat/Lon",20-Oct-17
Dugong dugon,Dugong,GPS LOCATION,-12.400117,130.808929,"WGS 84, Lat/Lon",20-Oct-17
Dugong dugon,Dugong,GPS LOCATION,-12.4309,130.815479,"WGS 84, Lat/Lon",20-Oct-17
Dugong dugon,Dugong,GPS LOCATION,-12.57006,130.48927,"WGS 84, Lat/Lon",21-Oct-17
Dugong dugon,Dugong,GPS LOCATION,-12.557916,130.50058,"WGS 84, Lat/Lon",21-Oct-17
Dugong dugon,Dugong,GPS LOCATION,-12.354885,130.870128,"WGS 84, Lat/Lon",25-Mar-18
Dugong dugon,Dugong,GPS LOCATION,-12.354885,130.870128,"WGS 84, Lat/Lon",25-Mar-18
Dugong dugon,Dugong,GPS LOCATION,-12.354885,130.870128,"WGS 84, Lat/Lon",25-Mar-18
Dugong dugon,Dugong,GPS LOCATION,-12.43444,130.83363,"WGS 84, Lat/Lon",2-Apr-18
Dugong dugon,Dugong,GPS LOCATION,-13.859956,136.420349,"WGS 84, Lat/Lon",14-May-18
