gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1819982917	3f4d4bf1-5f9a-43f2-a0d8-ff6ed5952796	imos_atf_ad:A69-9002-14243-Moreton Bay 19-2015-02-25	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	AU	Moreton Bay	5fa89f68-9af0-4a0d-8998-ea39695c1db9	-27.3649	153.3675					0.75	0.25	2015-02-25T01:00Z	25	2	2015	9369555	9369555	MACHINE_OBSERVATION	IMOS	IMOS_ATF_AD	imos_atf_ad:A69-9002-14243-Moreton Bay 19-2015-02-25			CC_BY_4_0					2018-02-21T04:20Z		COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID
1819982916	3f4d4bf1-5f9a-43f2-a0d8-ff6ed5952796	imos_atf_ad:A69-9002-14243-Moreton Bay 19-2015-03-27	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	AU	Moreton Bay	5fa89f68-9af0-4a0d-8998-ea39695c1db9	-27.3649	153.3675					0.75	0.25	2015-03-27T01:00Z	27	3	2015	9369555	9369555	MACHINE_OBSERVATION	IMOS	IMOS_ATF_AD	imos_atf_ad:A69-9002-14243-Moreton Bay 19-2015-03-27			CC_BY_4_0					2018-02-21T04:20Z		COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID
1819982915	3f4d4bf1-5f9a-43f2-a0d8-ff6ed5952796	imos_atf_ad:A69-9002-14243-Moreton Bay 19-2015-02-27	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	AU	Moreton Bay	5fa89f68-9af0-4a0d-8998-ea39695c1db9	-27.3649	153.3675					0.75	0.25	2015-02-27T01:00Z	27	2	2015	9369555	9369555	MACHINE_OBSERVATION	IMOS	IMOS_ATF_AD	imos_atf_ad:A69-9002-14243-Moreton Bay 19-2015-02-27			CC_BY_4_0					2018-02-21T04:20Z		COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID
1819982914	3f4d4bf1-5f9a-43f2-a0d8-ff6ed5952796	imos_atf_ad:A69-9002-14243-Moreton Bay 12-2013-11-21	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	AU	Moreton Bay	5fa89f68-9af0-4a0d-8998-ea39695c1db9	-27.4108	153.371					9.0	1.0	2013-11-21T01:00Z	21	11	2013	9369555	9369555	MACHINE_OBSERVATION	IMOS	IMOS_ATF_AD	imos_atf_ad:A69-9002-14243-Moreton Bay 12-2013-11-21			CC_BY_4_0					2018-02-21T04:20Z		COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID
1819982913	3f4d4bf1-5f9a-43f2-a0d8-ff6ed5952796	imos_atf_ad:A69-9002-14243-Moreton Bay 1-2014-07-03	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	AU	Moreton Bay	5fa89f68-9af0-4a0d-8998-ea39695c1db9	-27.3047	153.383					4.0	1.0	2014-07-03T02:00Z	3	7	2014	9369555	9369555	MACHINE_OBSERVATION	IMOS	IMOS_ATF_AD	imos_atf_ad:A69-9002-14243-Moreton Bay 1-2014-07-03			CC_BY_4_0					2018-02-21T04:20Z		COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID
1819982912	3f4d4bf1-5f9a-43f2-a0d8-ff6ed5952796	imos_atf_ad:A69-9002-14243-Moreton Bay 19-2014-12-24	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	AU	Moreton Bay	5fa89f68-9af0-4a0d-8998-ea39695c1db9	-27.3649	153.3675					0.75	0.25	2014-12-24T01:00Z	24	12	2014	9369555	9369555	MACHINE_OBSERVATION	IMOS	IMOS_ATF_AD	imos_atf_ad:A69-9002-14243-Moreton Bay 19-2014-12-24			CC_BY_4_0					2018-02-21T04:20Z		COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID
1819982911	3f4d4bf1-5f9a-43f2-a0d8-ff6ed5952796	imos_atf_ad:A69-9002-14243-Moreton Bay 19-2015-02-24	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	AU	Moreton Bay	5fa89f68-9af0-4a0d-8998-ea39695c1db9	-27.3649	153.3675					0.75	0.25	2015-02-24T01:00Z	24	2	2015	9369555	9369555	MACHINE_OBSERVATION	IMOS	IMOS_ATF_AD	imos_atf_ad:A69-9002-14243-Moreton Bay 19-2015-02-24			CC_BY_4_0					2018-02-21T04:20Z		COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID
1819982910	3f4d4bf1-5f9a-43f2-a0d8-ff6ed5952796	imos_atf_ad:A69-9002-14243-Moreton Bay 19-2015-03-26	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	AU	Moreton Bay	5fa89f68-9af0-4a0d-8998-ea39695c1db9	-27.3649	153.3675					0.75	0.25	2015-03-26T01:00Z	26	3	2015	9369555	9369555	MACHINE_OBSERVATION	IMOS	IMOS_ATF_AD	imos_atf_ad:A69-9002-14243-Moreton Bay 19-2015-03-26			CC_BY_4_0					2018-02-21T04:20Z		COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID
1819982909	3f4d4bf1-5f9a-43f2-a0d8-ff6ed5952796	imos_atf_ad:A69-9002-14243-Moreton Bay 10-2015-06-29	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	AU	Moreton Bay	5fa89f68-9af0-4a0d-8998-ea39695c1db9	-27.37	153.4042					3.75	1.25	2015-06-29T02:00Z	29	6	2015	9369555	9369555	MACHINE_OBSERVATION	IMOS	IMOS_ATF_AD	imos_atf_ad:A69-9002-14243-Moreton Bay 10-2015-06-29			CC_BY_4_0					2018-02-21T04:20Z		COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID
1819982908	3f4d4bf1-5f9a-43f2-a0d8-ff6ed5952796	imos_atf_ad:A69-9002-14243-Moreton Bay 12-2014-01-08	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	AU	Moreton Bay	5fa89f68-9af0-4a0d-8998-ea39695c1db9	-27.4108	153.371					9.0	1.0	2014-01-08T01:00Z	8	1	2014	9369555	9369555	MACHINE_OBSERVATION	IMOS	IMOS_ATF_AD	imos_atf_ad:A69-9002-14243-Moreton Bay 12-2014-01-08			CC_BY_4_0					2018-02-21T04:20Z		COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID
1819982907	3f4d4bf1-5f9a-43f2-a0d8-ff6ed5952796	imos_atf_ad:A69-9002-14243-Moreton Bay 18-2014-07-02	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	AU	Moreton Bay	5fa89f68-9af0-4a0d-8998-ea39695c1db9	-27.3455	153.4846					19.7	0.5	2014-07-02T02:00Z	2	7	2014	9369555	9369555	MACHINE_OBSERVATION	IMOS	IMOS_ATF_AD	imos_atf_ad:A69-9002-14243-Moreton Bay 18-2014-07-02			CC_BY_4_0					2018-02-21T04:20Z		COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID
1819982906	3f4d4bf1-5f9a-43f2-a0d8-ff6ed5952796	imos_atf_ad:A69-9002-14243-Moreton Bay 19-2015-03-10	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	AU	Moreton Bay	5fa89f68-9af0-4a0d-8998-ea39695c1db9	-27.3649	153.3675					0.75	0.25	2015-03-10T01:00Z	10	3	2015	9369555	9369555	MACHINE_OBSERVATION	IMOS	IMOS_ATF_AD	imos_atf_ad:A69-9002-14243-Moreton Bay 19-2015-03-10			CC_BY_4_0					2018-02-21T04:20Z		COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID
1819982905	3f4d4bf1-5f9a-43f2-a0d8-ff6ed5952796	imos_atf_ad:A69-9002-14243-Moreton Bay 19-2014-12-31	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	AU	Moreton Bay	5fa89f68-9af0-4a0d-8998-ea39695c1db9	-27.3649	153.3675					0.75	0.25	2014-12-31T01:00Z	31	12	2014	9369555	9369555	MACHINE_OBSERVATION	IMOS	IMOS_ATF_AD	imos_atf_ad:A69-9002-14243-Moreton Bay 19-2014-12-31			CC_BY_4_0					2018-02-21T04:20Z		COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID
1819982904	3f4d4bf1-5f9a-43f2-a0d8-ff6ed5952796	imos_atf_ad:A69-9002-14243-Moreton Bay 11-2013-10-26	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	AU	Moreton Bay	5fa89f68-9af0-4a0d-8998-ea39695c1db9	-27.402	153.3908					4.0	1.0	2013-10-26T02:00Z	26	10	2013	9369555	9369555	MACHINE_OBSERVATION	IMOS	IMOS_ATF_AD	imos_atf_ad:A69-9002-14243-Moreton Bay 11-2013-10-26			CC_BY_4_0					2018-02-21T04:20Z		COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID
1819982903	3f4d4bf1-5f9a-43f2-a0d8-ff6ed5952796	imos_atf_ad:A69-9002-14243-Moreton Bay 11-2014-01-19	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	AU	Moreton Bay	5fa89f68-9af0-4a0d-8998-ea39695c1db9	-27.402	153.3908					4.0	1.0	2014-01-19T01:00Z	19	1	2014	9369555	9369555	MACHINE_OBSERVATION	IMOS	IMOS_ATF_AD	imos_atf_ad:A69-9002-14243-Moreton Bay 11-2014-01-19			CC_BY_4_0					2018-02-21T04:20Z		COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID
1819982902	3f4d4bf1-5f9a-43f2-a0d8-ff6ed5952796	imos_atf_ad:A69-9002-14243-Moreton Bay 10-2015-06-10	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	AU	Moreton Bay	5fa89f68-9af0-4a0d-8998-ea39695c1db9	-27.37	153.4042					3.75	1.25	2015-06-10T02:00Z	10	6	2015	9369555	9369555	MACHINE_OBSERVATION	IMOS	IMOS_ATF_AD	imos_atf_ad:A69-9002-14243-Moreton Bay 10-2015-06-10			CC_BY_4_0					2018-02-21T04:20Z		COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID
1819982901	3f4d4bf1-5f9a-43f2-a0d8-ff6ed5952796	imos_atf_ad:A69-9002-14243-Moreton Bay 1-2015-01-25	Animalia	Chordata	Mammalia	Sirenia	Dugongidae	Dugong	Dugong dugon		SPECIES	Dugong dugon (Müller, 1776)	AU	Moreton Bay	5fa89f68-9af0-4a0d-8998-ea39695c1db9	-27.3047	153.383					4.0	1.0	2015-01-25T01:00Z	25	1	2015	9369555	9369555	MACHINE_OBSERVATION	IMOS	IMOS_ATF_AD	imos_atf_ad:A69-9002-14243-Moreton Bay 1-2015-01-25			CC_BY_4_0					2018-02-21T04:20Z		COORDINATE_PRECISION_INVALID;REFERENCES_URI_INVALID
